model,type,horsepower,color_options,price,Fuel Type,Drive Type,Transmission,Miles Per Gallon
Camry XSE,Sedan,205,White|Black|Red,31000,Hybrid,RWD,Automatic,44
Supra GR,Coupe,382,Red|Blue|Black,46000,Gas,FWD,Manual,22
RAV4 LE,SUV,203,Silver|Gray|White,28000,Hybrid,4WD,Automatic,35
Corolla LE,Sedan,139,White|Blue|Silver,21000,Gas,RWD,Automatic,30
Highlander XLE,SUV,295,Black|White|Green,40000,Hybrid,4WD,Automatic,41
Tacoma TRD,Truck,278,White|Gray|Black,36000,Gas,FWD,Manual,30
Tundra SR5,Truck,389,Black|Blue|Silver,47000,Gas,RWD,Automatic,29
Prius Prime,Sedan,121,White|Silver|Blue,30000,Hybrid,RWD,Automatic,40
Sequoia Platinum,SUV,437,Black|White|Green,70000,Hybrid,4WD,Automatic,44
Venza XLE,SUV,219,Gray|Black|White,39000,Hybrid,4WD,Automatic,44
Avalon XLE,Sedan,301,White|Black|Silver,37000,Gas,FWD,Automatic,30
Yaris LE,Sedan,106,Red|Silver|White,18000,Gas,RWD,Automatic,27
C-HR XLE,SUV,144,Blue|Gray|White,25000,Gas,4WD,Automatic,23
4Runner TRD,SUV,270,Black|White|Orange,42000,Gas,4WD,Manual,23
Mirai XLE,Sedan,182,Blue|White|Black,50000,Hydrogen,RWD,Automatic,26
Tacoma TRD,Truck,278,White|Gray|Black,36000,Gas,FWD,Manual,25
Tundra SR5,Truck,389,Black|Blue|Silver,47000,Gas,RWD,Automatic,24
Prius Prime,Sedan,121,White|Silver|Blue,30000,Hybrid,FWD,Automatic,48
Sequoia Platinum,SUV,437,Black|White|Green,70000,Hybrid,4WD,Automatic,43
Venza XLE,SUV,219,Gray|Black|White,39000,Hybrid,4WD,Automatic,41
Avalon XLE,Sedan,301,White|Black|Silver,37000,Gas,FWD,Automatic,28
Yaris LE,Sedan,106,Red|Silver|White,18000,Gas,RWD,Automatic,30
C-HR XLE,SUV,144,Blue|Gray|White,25000,Gas,4WD,Automatic,27
4Runner TRD,SUV,270,Black|White|Orange,42000,Gas,4WD,Manual,30
Mirai XLE,Sedan,182,Blue|White|Black,50000,Hydrogen,FWD,Automatic,30
Tacoma TRD,Truck,278,White|Gray|Black,36000,Gas,FWD,Manual,28
Tundra SR5,Truck,389,Black|Blue|Silver,47000,Gas,FWD,Automatic,32
Prius Prime,Sedan,121,White|Silver|Blue,30000,Hybrid,RWD,Automatic,49
Sequoia Platinum,SUV,437,Black|White|Green,70000,Hybrid,4WD,Automatic,49
Venza XLE,SUV,219,Gray|Black|White,39000,Hybrid,4WD,Automatic,49
Avalon XLE,Sedan,301,White|Black|Silver,37000,Gas,RWD,Automatic,28
Yaris LE,Sedan,106,Red|Silver|White,18000,Gas,RWD,Automatic,27
C-HR XLE,SUV,144,Blue|Gray|White,25000,Gas,4WD,Automatic,21
4Runner TRD,SUV,270,Black|White|Orange,42000,Gas,4WD,Manual,21
Mirai XLE,Sedan,182,Blue|White|Black,50000,Hydrogen,RWD,Automatic,30
Tacoma TRD,Truck,278,White|Gray|Black,36000,Gas,FWD,Manual,24
Tundra SR5,Truck,389,Black|Blue|Silver,47000,Gas,RWD,Automatic,26
Prius Prime,Sedan,121,White|Silver|Blue,30000,Hybrid,FWD,Automatic,50
Sequoia Platinum,SUV,437,Black|White|Green,70000,Hybrid,4WD,Automatic,45
Venza XLE,SUV,219,Gray|Black|White,39000,Hybrid,4WD,Automatic,48
Avalon XLE,Sedan,301,White|Black|Silver,37000,Gas,RWD,Automatic,28
Yaris LE,Sedan,106,Red|Silver|White,18000,Gas,RWD,Automatic,35
C-HR XLE,SUV,144,Blue|Gray|White,25000,Gas,4WD,Automatic,24
4Runner TRD,SUV,270,Black|White|Orange,42000,Gas,4WD,Manual,24
Mirai XLE,Sedan,182,Blue|White|Black,50000,Hydrogen,FWD,Automatic,25
Tacoma TRD,Truck,278,White|Gray|Black,36000,Gas,FWD,Manual,33
Tundra SR5,Truck,389,Black|Blue|Silver,47000,Gas,RWD,Automatic,23
Prius Prime,Sedan,121,White|Silver|Blue,30000,Hybrid,FWD,Automatic,49
Sequoia Platinum,SUV,437,Black|White|Green,70000,Hybrid,4WD,Automatic,48
Venza XLE,SUV,219,Gray|Black|White,39000,Hybrid,4WD,Automatic,36
Avalon XLE,Sedan,301,White|Black|Silver,37000,Gas,FWD,Automatic,31
Yaris LE,Sedan,106,Red|Silver|White,18000,Gas,FWD,Automatic,32
C-HR XLE,SUV,144,Blue|Gray|White,25000,Gas,4WD,Automatic,23
4Runner TRD,SUV,270,Black|White|Orange,42000,Gas,4WD,Manual,23
Mirai XLE,Sedan,182,Blue|White|Black,50000,Hydrogen,FWD,Automatic,35
Tacoma TRD,Truck,278,White|Gray|Black,36000,Gas,RWD,Manual,24
Tundra SR5,Truck,389,Black|Blue|Silver,47000,Gas,FWD,Automatic,21
Prius Prime,Sedan,121,White|Silver|Blue,30000,Hybrid,FWD,Automatic,45
Sequoia Platinum,SUV,437,Black|White|Green,70000,Hybrid,4WD,Automatic,43
Venza XLE,SUV,219,Gray|Black|White,39000,Hybrid,4WD,Automatic,36
Avalon XLE,Sedan,301,White|Black|Silver,37000,Gas,RWD,Automatic,27
Yaris LE,Sedan,106,Red|Silver|White,18000,Gas,RWD,Automatic,32
C-HR XLE,SUV,144,Blue|Gray|White,25000,Gas,4WD,Automatic,27
4Runner TRD,SUV,270,Black|White|Orange,42000,Gas,4WD,Manual,26
Mirai XLE,Sedan,182,Blue|White|Black,50000,Hydrogen,RWD,Automatic,27
Tacoma TRD,Truck,278,White|Gray|Black,36000,Gas,RWD,Manual,35
Tundra SR5,Truck,389,Black|Blue|Silver,47000,Gas,RWD,Automatic,33
Prius Prime,Sedan,121,White|Silver|Blue,30000,Hybrid,RWD,Automatic,47
Sequoia Platinum,SUV,437,Black|White|Green,70000,Hybrid,4WD,Automatic,49
Venza XLE,SUV,219,Gray|Black|White,39000,Hybrid,4WD,Automatic,50
Avalon XLE,Sedan,301,White|Black|Silver,37000,Gas,FWD,Automatic,29
Yaris LE,Sedan,106,Red|Silver|White,18000,Gas,FWD,Automatic,34
C-HR XLE,SUV,144,Blue|Gray|White,25000,Gas,4WD,Automatic,24
4Runner TRD,SUV,270,Black|White|Orange,42000,Gas,4WD,Manual,24
