model,type,horsepower,color_options,price,Fuel Type,Drive Type,Transmission,Miles Per Gallon
Camry XSE Gen1,Sedan,206,White|Black|Red,31244,Hybrid,RWD,Automatic,43
Tacoma TRD Gen2,Truck,285,White|Gray|Black,36302,Gas,FWD,Manual,28
RAV4 LE Gen3,SUV,199,Silver|Gray|White,29763,Hybrid,4WD,Automatic,35
Tacoma TRD Gen4,Truck,281,White|Gray|Black,37213,Gas,FWD,Manual,29
Mirai XLE Gen5,Sedan,180,Blue|White|Black,51338,Hydrogen,RWD,Automatic,31
Venza XLE Gen6,SUV,210,Gray|Black|White,39601,Hybrid,4WD,Automatic,47
Tacoma TRD Gen7,Truck,287,White|Gray|Black,35454,Gas,FWD,Manual,29
Supra GR Gen8,Coupe,384,Red|Blue|Black,44208,Gas,FWD,Manual,21
Mirai XLE Gen9,Sedan,184,Blue|White|Black,51447,Hydrogen,RWD,Automatic,32
Mirai XLE Gen10,Sedan,192,Blue|White|Black,50144,Hydrogen,RWD,Automatic,29
Tacoma TRD Gen11,Truck,284,White|Gray|Black,35259,Gas,FWD,Manual,31
Venza XLE Gen12,SUV,220,Gray|Black|White,38053,Hybrid,4WD,Automatic,47
Camry XSE Gen13,Sedan,199,White|Black|Red,30978,Hybrid,RWD,Automatic,47
Camry XSE Gen14,Sedan,214,White|Black|Red,31667,Hybrid,RWD,Automatic,47
Mirai XLE Gen15,Sedan,187,Blue|White|Black,50468,Hydrogen,RWD,Automatic,30
Tacoma TRD Gen16,Truck,280,White|Gray|Black,35061,Gas,FWD,Manual,31
Camry XSE Gen17,Sedan,212,White|Black|Red,31610,Hybrid,RWD,Automatic,45
Venza XLE Gen18,SUV,215,Gray|Black|White,40893,Hybrid,4WD,Automatic,44
RAV4 LE Gen19,SUV,201,Silver|Gray|White,26326,Hybrid,4WD,Automatic,34
Tacoma TRD Gen20,Truck,271,White|Gray|Black,36740,Gas,FWD,Manual,26
RAV4 LE Gen21,SUV,202,Silver|Gray|White,27068,Hybrid,4WD,Automatic,33
Venza XLE Gen22,SUV,222,Gray|Black|White,39878,Hybrid,4WD,Automatic,47
Venza XLE Gen23,SUV,211,Gray|Black|White,40011,Hybrid,4WD,Automatic,47
Mirai XLE Gen24,Sedan,187,Blue|White|Black,50120,Hydrogen,RWD,Automatic,31
Venza XLE Gen25,SUV,215,Gray|Black|White,38343,Hybrid,4WD,Automatic,45
Camry XSE Gen26,Sedan,207,White|Black|Red,30802,Hybrid,RWD,Automatic,44
RAV4 LE Gen27,SUV,208,Silver|Gray|White,27497,Hybrid,4WD,Automatic,38
Camry XSE Gen28,Sedan,200,White|Black|Red,32081,Hybrid,RWD,Automatic,43
Camry XSE Gen29,Sedan,203,White|Black|Red,30355,Hybrid,RWD,Automatic,46
Venza XLE Gen30,SUV,218,Gray|Black|White,38988,Hybrid,4WD,Automatic,43
Mirai XLE Gen31,Sedan,175,Blue|White|Black,50557,Hydrogen,RWD,Automatic,31
Mirai XLE Gen32,Sedan,186,Blue|White|Black,51081,Hydrogen,RWD,Automatic,28
Venza XLE Gen33,SUV,226,Gray|Black|White,38060,Hybrid,4WD,Automatic,46
Supra GR Gen34,Coupe,381,Red|Blue|Black,46835,Gas,FWD,Manual,25
Mirai XLE Gen35,Sedan,179,Blue|White|Black,48061,Hydrogen,RWD,Automatic,27
Camry XSE Gen36,Sedan,199,White|Black|Red,29301,Hybrid,RWD,Automatic,43
Supra GR Gen37,Coupe,386,Red|Blue|Black,46891,Gas,FWD,Manual,20
Mirai XLE Gen38,Sedan,176,Blue|White|Black,51902,Hydrogen,RWD,Automatic,31
Mirai XLE Gen39,Sedan,187,Blue|White|Black,49838,Hydrogen,RWD,Automatic,31
Venza XLE Gen40,SUV,220,Gray|Black|White,39646,Hybrid,4WD,Automatic,47
Tacoma TRD Gen41,Truck,284,White|Gray|Black,35562,Gas,FWD,Manual,29
Camry XSE Gen42,Sedan,202,White|Black|Red,32439,Hybrid,RWD,Automatic,47
Camry XSE Gen43,Sedan,206,White|Black|Red,30971,Hybrid,RWD,Automatic,43
Supra GR Gen44,Coupe,377,Red|Blue|Black,45216,Gas,FWD,Manual,19
Mirai XLE Gen45,Sedan,191,Blue|White|Black,48427,Hydrogen,RWD,Automatic,33
Mirai XLE Gen46,Sedan,177,Blue|White|Black,49259,Hydrogen,RWD,Automatic,29
RAV4 LE Gen47,SUV,210,Silver|Gray|White,26449,Hybrid,4WD,Automatic,32
Tacoma TRD Gen48,Truck,280,White|Gray|Black,36295,Gas,FWD,Manual,25
Supra GR Gen49,Coupe,378,Red|Blue|Black,47449,Gas,FWD,Manual,19
Camry XSE Gen50,Sedan,200,White|Black|Red,30414,Hybrid,RWD,Automatic,43
Mirai XLE Gen1,Sedan,182,Blue|White|Black,51204,Hydrogen,RWD,Automatic,32
Tacoma TRD Gen2,Truck,268,White|Gray|Black,36394,Gas,FWD,Manual,26
Venza XLE Gen3,SUV,229,Gray|Black|White,37553,Hybrid,4WD,Automatic,45
Venza XLE Gen4,SUV,229,Gray|Black|White,39256,Hybrid,4WD,Automatic,45
Mirai XLE Gen5,Sedan,191,Blue|White|Black,49226,Hydrogen,RWD,Automatic,27
Tacoma TRD Gen6,Truck,282,White|Gray|Black,34296,Gas,FWD,Manual,25
RAV4 LE Gen7,SUV,210,Silver|Gray|White,28799,Hybrid,4WD,Automatic,36
